Titles,Genre,Imdb_ratings,Tv-Ratings,runtime,Director,Years
Black Water,"Mystery & Thriller, Animation, Action & Adventure, Drama",4.7,R,1h 45min,Pasha Patriki,2018
Tag,"Comedy, Action & Adventure",6.5,R,1h 40min,Jeff Tomsic,2018
Scary Stories to Tell in the Dark,"Horror, Mystery & Thriller",6.2,PG-13,1h 48min,André Øvredal,2019
Freaks,"Mystery & Thriller, Science-Fiction, Drama",6.7,R,1h 45min,Adam B. Stein,2019
The Black Phone,"Horror, Mystery & Thriller, Drama",6.9,R,1h 39min,Scott Derrickson,2022
Maggie,"Horror, Drama, Mystery & Thriller, Science-Fiction",5.6,PG-13,1h 35min,Henry Hobson,2015
The Lost City of Z,"Drama, History, Action & Adventure, Made in Europe",6.6,PG-13,2h 21min,James Gray,2017
Lewis Black: Thanks For Risking Your Life,Comedy,6.2,N/A,1h 3min,Ben Brewer,2020
Sonic the Hedgehog 2,"Comedy, Animation, Action & Adventure, Kids & Family, Fantasy, Science-Fiction",6.5,PG,2h 2min,Jeff Fowler,2022
The Tomorrow War,"Science-Fiction, Action & Adventure, Drama, Mystery & Thriller, War & Military",6.6,PG-13,2h 20min,Chris McKay,2021
Baby Assassins,"Drama, Comedy, Action & Adventure, Crime",6.3,PG-13,1h 35min,Yugo Sakamoto,2021
Bros,"Comedy, Romance",6.4,R,1h 55min,Nicholas Stoller,2022
The Lost City,"Action & Adventure, Comedy, Romance",6.1,PG-13,1h 52min,Aaron Nee,2022
The Map of Tiny Perfect Things,"Fantasy, Comedy, Romance",6.8,PG-13,1h 39min,Ian Samuels,2021
When the Screaming Starts,"Horror, Comedy",5.3,N/A,1h 29min,Conor Boru,2021
100 Streets,"Drama, Crime",5.8,N/A,1h 33min,Jim O'Hanlon,2016
Moonwalkers,"Comedy, Made in Europe, Documentary, Action & Adventure",6.1,R,1h 47min,Antoine Bardou-Jacquet,2015
Miss Meadows,"Drama, Crime, Romance, Mystery & Thriller, Comedy",5.8,N/A,1h 28min,Karen Leigh Hopkins,2014
Horror in the High Desert,"Horror, Mystery & Thriller",5.4,N/A,1h 22min,Dutch Marich,2021
Broadway Rising,Documentary,N/A,N/A,1h 33min,Amy Rice,2022
Coherence,"Mystery & Thriller, Horror, Drama, Science-Fiction",7.2,PG,1h 29min,James Ward Byrkit,2013
Train to Busan,"Action & Adventure, Horror, Mystery & Thriller",7.6,N/A,1h 58min,Yeon Sang-ho,2016
Dog,"Animation, Action & Adventure, Kids & Family, Comedy, Drama, Fantasy",6.5,PG-13,1h 41min,Reid Carolin,2022
Ambulance,"Mystery & Thriller, Horror, Action & Adventure, Crime, Drama",6.1,R,2h 16min,Michael Bay,2022
Mrs. Harris Goes to Paris,"Drama, Comedy",7.1,PG,1h 56min,Anthony Fabian,2022
A Man Called Ove,"Comedy, Drama, Made in Europe, Romance",7.7,PG-13,1h 56min,Hannes Holm,2015
Manchester by the Sea,Drama,7.8,R,2h 17min,Kenneth Lonergan,2016
Creed,"Drama, Action & Adventure, Sport, Kids & Family",7.6,PG-13,2h 12min,Ryan Coogler,2015
Ukraine Is Not a Brothel,Documentary,6.1,N/A,1h 18min,Kitty Green,2013
Camp Wedding,"Mystery & Thriller, Comedy, Horror",3.3,N/A,1h 30min,Greg Emetaz,2019
Hope Lost,"Mystery & Thriller, Drama, Made in Europe",3.8,N/A,1h 34min,David Petrucci,2015
The Outfit,"Crime, Drama, Mystery & Thriller",7.1,R,1h 45min,Graham Moore,2022
The Sisters Brothers,"Western, Drama, Comedy, Crime, Made in Europe",6.9,R,2h 1min,Jacques Audiard,2018
Beast,"Science-Fiction, Action & Adventure, Drama, Horror, Mystery & Thriller",5.6,R,1h 33min,Baltasar Kormákur,2022
Fighting with My Family,"Comedy, Sport, Drama, Made in Europe",7.1,PG-13,1h 48min,Stephen Merchant,2019
A Simple Favor,"Mystery & Thriller, Crime, Drama, Comedy",6.8,R,1h 57min,Paul Feig,2018
'Til Death Do Us Part,"Mystery & Thriller, Drama, Comedy, Romance, Made in Europe",4.6,PG-13,1h 39min,Chris Stokes,2017
The Accursed,"Horror, Drama",4.6,N/A,1h 24min,Elizabeta Vidovic,2021
Alter Ego,"Mystery & Thriller, Crime",3.3,N/A,1h 14min,Ezio Massa,2021
Creed II,"Drama, Sport, Action & Adventure",7.1,PG-13,2h 10min,Steven Caple Jr.,2018
"Argentina, 1985","Crime, Drama, History",7.6,R,2h 20min,Santiago Mitre,2022
Alienoid,"Science-Fiction, Action & Adventure, Fantasy",6.2,N/A,2h 22min,Choi Dong-hoon,2022
Shotgun Wedding,"Action & Adventure, Comedy, Romance",5.4,R,1h 41min,Jason Moore,2022
The Handmaiden,"Drama, Mystery & Thriller, Romance",8.1,R,2h 25min,Park Chan-wook,2016
Night Train to Lisbon,"Mystery & Thriller, Romance, Made in Europe",6.8,R,1h 51min,Bille August,2013
Saint Maud,"Drama, Horror, Mystery & Thriller",6.7,R,1h 23min,Rose Glass,2020
Repeater,"Mystery & Thriller, Action & Adventure",6.1,R,1h 46min,R. Ellis Frazier,2022
Captain Fantastic,"Drama, Comedy",7.8,R,1h 58min,Matt Ross,2016
House of Gucci,"Drama, Crime, Mystery & Thriller",6.6,R,2h 38min,Ridley Scott,2021
Richard Jewell,"Drama, Crime",7.5,R,2h 11min,Clint Eastwood,2019
Tickled,"Documentary, Crime",7.5,R,1h 32min,Dylan Reeve,2016
PussyCake,"Horror, Science-Fiction",N/A,N/A,1h 22min,Pablo Parés,2021
Terminator Genisys,"Mystery & Thriller, Action & Adventure, Science-Fiction, Fantasy",6.3,PG-13,2h 6min,Alan Taylor,2015
Bombshell,Drama,6.8,R,1h 48min,Jay Roach,2019
The Deeper You Dig,"Drama, Horror",5.6,N/A,1h 35min,John Adams,2020
Downton Abbey: A New Era,"Drama, Romance",7.4,PG,2h 4min,Simon Curtis,2022
Bull,Drama,6.2,R,1h 45min,Annie Silverstein,2020
Good Night Oppy,Documentary,7.7,PG,1h 45min,Ryan White,2022
The Magnificent Seven,"Action & Adventure, Western",6.8,PG-13,2h 12min,Antoine Fuqua,2016
Accident Man,"Mystery & Thriller, Crime, Action & Adventure",6.2,R,1h 41min,Jesse V. Johnson,2018
Candyman,"Horror, Mystery & Thriller, Drama",5.9,R,1h 31min,Nia DaCosta,2021
Lavender,"Drama, Mystery & Thriller, Horror",5.4,N/A,1h 32min,Ed Gass-Donnelly,2016
Voice from the Stone,"Drama, Mystery & Thriller, Made in Europe",5.2,R,1h 34min,N/A,2017
The Rise of Jordan Peterson,Documentary,7.2,N/A,1h 31min,Patricia Marcoccia,2019
Status Update,"Fantasy, Science-Fiction, Romance, Comedy",5.8,PG-13,1h 46min,Scott Speer,2018
Zane Lamprey: Tender Looks,Comedy,6.0,N/A,1h 1min,Zane Lamprey,2022
Creatures of Necessity,"Mystery & Thriller, Crime, Comedy",4.7,N/A,1h 33min,Christian Kazadi,2022
Higher Power,"Mystery & Thriller, Science-Fiction, Action & Adventure",4.8,R,1h 35min,Matthew Charles Santoro,2018
Eiffel,"Drama, Romance, History",6.2,R,1h 48min,Martin Bourboulon,2021
She's Lost Control,Drama,5.2,N/A,1h 30min,Haritz Zubillaga,2014
Arracht,"Mystery & Thriller, Drama, Made in Europe",7.0,N/A,1h 30min,Tom Sullivan,2021
Where Are You,"Mystery & Thriller, Drama",3.0,N/A,1min,N/A,2022
Silent Hours,"Crime, Mystery & Thriller",5.2,N/A,2h 36min,Mark Greenstreet,2021
A House on the Bayou,"Mystery & Thriller, Horror",5.5,N/A,1h 28min,N/A,2021
Escape Plan: The Extractors,"Action & Adventure, Crime, Mystery & Thriller",4.4,R,1h 37min,John Herzfeld,2019
The Final Master,"Drama, Comedy, Action & Adventure",6.8,N/A,1h 49min,Xu Haofeng,2015
My Policeman,"Drama, Crime, Horror, Romance",6.5,R,1h 53min,Michael Grandage,2022
Dark Amazon,"Horror, Mystery & Thriller",4.1,N/A,1h 23min,Darcyana Moreno Izel,2014
The Accountant,"Crime, Mystery & Thriller, Action & Adventure, Drama",7.3,R,2h 8min,Gavin O'Connor,2016
Renegades,"Mystery & Thriller, Action & Adventure, Crime",4.3,R,1h 31min,Daniel Zirilli,2022
Ender's Game,"Science-Fiction, Action & Adventure, Kids & Family, Fantasy",6.6,PG-13,1h 54min,Gavin Hood,2013
Beyond the Infinite Two Minutes,"Science-Fiction, Comedy",7.3,N/A,1h 11min,Junta Yamaguchi,2020
The Sunlit Night,"Comedy, Drama, Romance, Made in Europe",6.1,N/A,1h 46min,David Wnendt,2020
Mortdecai,"Comedy, Crime, Romance, Action & Adventure",5.5,R,1h 46min,David Koepp,2015
Zeros and Ones,"Mystery & Thriller, War & Military, Drama, Action & Adventure",3.3,R,1h 25min,Abel Ferrara,2021
Cold Skin,"Horror, Drama, Fantasy, Action & Adventure, Science-Fiction, Mystery & Thriller, Made in Europe",6.0,N/A,1h 41min,Xavier Gens,2017
Night Night,"Mystery & Thriller, Horror",4.0,PG-13,1h 31min,Niki Koss,2021
Noah,"Drama, Action & Adventure, Mystery & Thriller, Romance",5.8,PG-13,2h 18min,Darren Aronofsky,2014
If I Stay,"Drama, Fantasy, Music & Musical, Romance, Science-Fiction",6.7,PG-13,1h 46min,R.J. Cutler,2014
The Last Bus,Drama,6.6,N/A,1h 28min,Gillies MacKinnon,2021
Strong Enough,"Drama, Sport",6.2,N/A,1h 10min,John Foss,2022
The Last Stop,"Documentary, Drama",7.1,N/A,1h 51min,Todd Nilssen,2017
The Frozen Ground,"Mystery & Thriller, Crime, Drama",6.4,R,1h 45min,Scott Walker,2013
Renegades,"Mystery & Thriller, Crime, Drama, War & Military, Action & Adventure, Made in Europe",5.5,PG-13,1h 46min,Steven Quale,2017
The People We Hate at the Wedding,Comedy,5.8,R,1h 39min,Claire Scanlon,2022
Hercules,"Action & Adventure, Fantasy",6.0,PG-13,1h 38min,Brett Ratner,2014
To the Stars,Drama,6.2,N/A,1h 49min,Martha Stephens,2019
Siberia,"Drama, Horror, Fantasy",4.8,R,1h 32min,Abel Ferrara,2020
Bigorexia,Documentary,6.1,N/A,1h 45min,Vlad Yudin,2020
County Line,"Western, Drama, Crime, Action & Adventure",6.0,N/A,1h 28min,N/A,2017
The House on Mansfield Street,Horror,3.8,PG-13,1h 14min,Richard Mansfield,2018
Sound of Metal,"Drama, Music & Musical",7.7,R,2h 1min,Darius Marder,2020
The Debt Collector,"Action & Adventure, Comedy",5.8,N/A,1h 30min,Jesse V. Johnson,2018
Light in the Water,Documentary,7.3,N/A,1h 15min,Lis Bartlett,2018
Mysterious Circumstance: The Death of Meriwether Lewis,"Western, Mystery & Thriller",4.7,N/A,1h 55min,Clark Richey,2022
Please Stand By,"Comedy, Drama",6.7,PG-13,1h 33min,Ben Lewin,2018
Our Neighbors Shadow,Mystery & Thriller,N/A,N/A,1h 35min,N/A,2022
Snake Eyes: G.I. Joe Origins,"Action & Adventure, Mystery & Thriller, Crime, Fantasy, Science-Fiction",5.4,PG-13,2h 1min,Robert Schwentke,2021
Sweetwater,"Mystery & Thriller, Western",6.2,R,1h 36min,Logan Miller,2013
Beneath the Green,Science-Fiction,3.6,PG-13,1h 20min,Jason Georgiades,2022
Red River Road,"Mystery & Thriller, Horror",5.7,N/A,1h 30min,Paul Schuyler,2021
The Villainess,"Mystery & Thriller, Action & Adventure, Crime, Drama, Made in Europe",6.6,N/A,2h 9min,Jung Byung-gil,2017
The Shadow Effect,"Action & Adventure, Mystery & Thriller, Science-Fiction, Drama",4.2,N/A,1h 33min,Amariah Olson,2017
Halloween Ends,"Horror, Mystery & Thriller",5.0,R,1h 51min,David Gordon Green,2022
Greater,"Drama, Kids & Family, Sport",7.3,PG,2h 10min,David Hunt,2016
The Ones Below,"Mystery & Thriller, Drama",6.1,R,1h 27min,David Farr,2016
A Savage Nature,"Mystery & Thriller, Drama, Crime",3.8,N/A,1h 22min,Paul Awad,2020
5 Years Apart,"Drama, Comedy",5.6,N/A,1h 36min,Joe Angelo Menconi,2019
The Other Me,"Drama, Mystery & Thriller",4.2,N/A,1h 39min,Giga Agladze,2022
The Night Crew,"Mystery & Thriller, Action & Adventure, Horror",4.2,N/A,1h 29min,Christian Sesma,2015
Above the Shadows,"Fantasy, Romance, Sport, Drama",6.0,N/A,1h 51min,Claudia Myers,2019
What We Found,Mystery & Thriller,5.5,N/A,1h 50min,Ben Hickernell,2020
Hounded,"Action & Adventure, Mystery & Thriller, Horror",4.9,R,1h 34min,Tommy Boulding,2022
Ashley,Drama,5.3,N/A,1h 32min,Dean Matthew Ronalds,2013
Neon,Documentary,7.2,N/A,1h 23min,Lawrence Johnston,2016
Blush,Drama,4.9,N/A,1h 41min,Debra Eisenstadt,2019
American Relapse,Documentary,7.8,N/A,1h 45min,Adam Linkenhelt,2019
Baantjer: The beginning,"Drama, Crime, Action & Adventure, Mystery & Thriller, Made in Europe",6.8,N/A,1h 51min,Arne Toonen,2019
Don't Click,Horror,2.8,N/A,1h 20min,G-Hey Kim,2020
Sugar Daddy,Drama,5.8,N/A,1h 39min,Wendy Morgan,2021
Earth to Echo,"Science-Fiction, Kids & Family",5.7,PG,1h 29min,Dave Green,2014
Jungle,"Mystery & Thriller, Drama, Action & Adventure, Made in Europe",6.7,R,1h 55min,Greg McLean,2017
A Perfect Enemy,"Drama, Mystery & Thriller, Made in Europe, Crime, Action & Adventure",5.5,N/A,1h 29min,Kike Maíllo,2021
Milwaukee,"Comedy, Drama",5.0,N/A,1h 30min,Torre Catalano,2015
The Humanity Bureau,"Action & Adventure, Science-Fiction, Mystery & Thriller",4.5,R,1h 30min,Rob W. King,2017
Before I Go to Sleep,"Mystery & Thriller, Made in Europe, Drama, Horror",6.3,R,1h 32min,Rowan Joffe,2014
Judy,"Drama, Music & Musical, Romance, History, Made in Europe",6.8,PG-13,1h 58min,Rupert Goold,2019
Demigod,Horror,4.1,N/A,1h 35min,Miles Doleac,2021
Secret Headquarters,"Comedy, Action & Adventure, Kids & Family, Science-Fiction",5.1,PG,1h 44min,Ariel Schulman,2022
The Manson Brothers Midnight Zombie Massacre,"Horror, Comedy",4.4,R,1h 32min,Max Martini,2021
Spitfire,"Documentary, History, War & Military",7.5,N/A,1h 39min,David Fairhead,2018
Jackass Forever,"Comedy, Documentary, Action & Adventure, Reality TV",6.8,R,1h 36min,Jeff Tremaine,2022
The Blackout,"Drama, History, Comedy, Romance",5.2,N/A,1h 20min,Daniela De Carlo,2019
Burnt,"Drama, Comedy",6.6,R,1h 41min,John Wells,2015
Valentine DayZ,Horror,2.3,N/A,1h 19min,Mark Allen Michaels,2018
"Nicole, her Ex & the Killer","Comedy, Horror",6.6,N/A,1h 30min,Bob Akins,2022
The Place of No Words,"Drama, Fantasy",5.6,N/A,1h 35min,Mark Webber,2019
Nerve,"Mystery & Thriller, Action & Adventure, Crime, Drama",6.5,PG-13,1h 36min,Henry Joost,2016
Just Getting Started,"Comedy, Crime, Action & Adventure",4.5,PG-13,1h 31min,Ron Shelton,2017
Triple Threat,"Action & Adventure, Mystery & Thriller",5.6,R,1h 36min,Jesse V. Johnson,2019
Lancaster,Documentary,7.7,N/A,1h 50min,Ant Palmer,2022
James vs. His Future Self,"Science-Fiction, Comedy, Drama",5.9,N/A,1h 34min,Jeremy Lalonde,2020
Native,"Drama, Science-Fiction",4.3,N/A,1h 26min,Daniel Fitzsimmons,2018
The Cosmos Sisters,Comedy,3.4,N/A,1h 18min,Nora Kaye,2022
Thirteen Lives,"Drama, Mystery & Thriller, Action & Adventure",7.8,PG-13,2h 27min,Ron Howard,2022
12 Feet Deep,"Horror, Mystery & Thriller",5.2,N/A,1h 26min,Matt Eskandari,2017
Cyrano,"Drama, Romance",6.4,PG-13,2h 3min,Joe Wright,2022
June Again,"Drama, Comedy",7.2,N/A,1h 39min,N/A,2021
The Big Sick,"Comedy, Drama, Romance",7.5,R,1h 59min,Michael Showalter,2017
The Way Back,"Drama, Sport",6.7,R,1h 48min,Maxime Jenne,2020
Harpoon,"Comedy, Horror, Mystery & Thriller",6.0,PG-13,1h 22min,Rob Grant,2019
The Girl in Cabin 13: A Psychological Horror,Horror,2.8,N/A,1h 22min,Brendan Rudnicki,2021
Computer Chess,Comedy,6.2,N/A,1h 31min,Andrew Bujalski,2013
Black Bear,"Drama, Comedy, Mystery & Thriller",6.5,R,1h 44min,Lawrence Michael Levine,2020
Catherine Called Birdy,"Action & Adventure, Comedy",6.6,PG-13,1h 48min,Lena Dunham,2022
The Alpines,"Horror, Mystery & Thriller, Drama",4.4,N/A,1h 33min,Dante Aubain,2021
House of Glass,"Drama, Mystery & Thriller",4.3,R,1h 28min,Reyn Del Rio,2021
Do Not Reply,"Horror, Mystery & Thriller",4.5,R,1h 39min,Daniel Woltosz,2019
Behind The Sightings,"Mystery & Thriller, Horror, Documentary",3.5,N/A,1h 21min,N/A,2021
Cassette: A Documentary Mixtape,"Documentary, Music & Musical",6.5,N/A,1h 20min,N/A,2016
Jallikattu,"Mystery & Thriller, Action & Adventure, Crime",7.3,N/A,1h 31min,Lijo Jose Pellissery,2019
Anchor Point,Documentary,N/A,N/A,1h 29min,Holly Tuckett,2021
Autumn Road,"Mystery & Thriller, Drama, Horror",4.1,N/A,1h 35min,Riley Cusick,2021
Roy's World: Barry Gifford's Chicago,Documentary,7.8,N/A,1h 15min,Rob Christopher,2020
The Wolfpack,Documentary,7.0,R,1h 29min,Crystal Moselle,2015
"Men, Women & Children","Drama, Comedy",6.7,R,1h 56min,Jason Reitman,2014
Call Us Ishmael,Documentary,7.6,N/A,1h 19min,David Shaerf,2019
Lone Wolf,"Drama, Mystery & Thriller, Science-Fiction",3.4,R,1h 44min,Jonathan Ogilvie,2021
Rocky Road,"Drama, Kids & Family",5.3,G,1h 30min,Brian K. Roberts,2014
The Sound of 007,"Music & Musical, Documentary",7.4,G,1h 28min,Mat Whitecross,2022
Submergence,"Mystery & Thriller, Documentary, Romance, Drama, Made in Europe",5.4,N/A,1h 52min,Wim Wenders,2017
Friendly Beast,"Horror, Crime, Mystery & Thriller",6.3,N/A,1h 38min,Gabriela Amaral Almeida,2018
Hyena Road,"Drama, Mystery & Thriller, Action & Adventure, War & Military",6.5,R,2h 5min,Paul Gross,2015
Allied,"Drama, War & Military, Romance, Mystery & Thriller, Action & Adventure",7.1,R,2h 4min,Robert Zemeckis,2016
Homebound,"Horror, Drama",4.4,N/A,1h 11min,Sebastian Godwin,2022
Juice: How Electricity Explains the World,"Documentary, Made in Europe",6.9,N/A,1h 20min,Tyson Culver,2020
The Commune,"Drama, Made in Europe",6.4,N/A,1h 51min,Thomas Vinterberg,2016
Brimstone,"Western, Mystery & Thriller, Drama, Made in Europe",7.0,R,2h 29min,Martin Koolhoven,2016
Inside the Edge: A Professional Blackjack Adventure,Documentary,7.2,N/A,1h 12min,Christopher Buddy,2019
From Core to Sun,Documentary,6.6,N/A,1h 30min,Oliver Lee Garland,2018
Afraid,"Horror, Mystery & Thriller",3.1,N/A,2h 5min,Jason Goldberg,2018
Arthur & Merlin: Knights of Camelot,"Action & Adventure, History",3.3,R,1h 31min,Giles Alderson,2020
Tethered,"Drama, Mystery & Thriller, Horror",5.1,N/A,1h 28min,Daniel Robinette,2022
Too Late,"Comedy, Horror",4.5,N/A,1h 20min,D.W. Thomas,2021
They Live Inside Us,Horror,N/A,N/A,1h 43min,Michael Ballif,2020
Shadow,"Drama, Action & Adventure, Fantasy, War & Military, History",7.0,PG-13,1h 56min,Zhang Yimou,2018
The Oak Room,"Horror, Mystery & Thriller",N/A,N/A,1h 29min,Cody Calahan,2020
My Name Is Emily,"Drama, Made in Europe",6.5,N/A,1h 34min,Simon Fitzmaurice,2016
Horizon Line,Mystery & Thriller,N/A,PG-13,1h 32min,Mikael Marcimain,2020
Intersect,"Horror, Mystery & Thriller, Animation, Science-Fiction",3.5,N/A,1h 59min,Gus Holwerda,2020
Dear Mr. Watterson,Documentary,6.3,N/A,1h 29min,Joel Allen Schroeder,2013
Burlesque,,N/A,N/A,1h 23min,Tereza Kopáčová-Vrabelová,2019
In the Fade,"Drama, Mystery & Thriller, Crime, Made in Europe",7.1,R,1h 46min,Fatih Akin,2017
Nanny,"Horror, Drama, Mystery & Thriller",5.3,R,1h 39min,Nikyatu Jusu,2022
Free Ride,"Drama, Mystery & Thriller, Action & Adventure",5.6,R,1h 26min,Shana Betz,2013
Peace Officer,"Documentary, Crime",7.5,N/A,1h 49min,Brad Barber,2015
Jack Ryan: Shadow Recruit,"Drama, Mystery & Thriller, Action & Adventure, Crime",6.2,PG-13,1h 45min,Kenneth Branagh,2014
Don't Come Back from the Moon,"Drama, Science-Fiction",4.8,N/A,1h 38min,Bruce Thierry Cheung,2019
An Imperfect Murder,"Drama, Mystery & Thriller",3.0,R,1h 11min,James Toback,2017
Ben Stokes: Phoenix from the Ashes,Documentary,8.1,N/A,1h 44min,Luke Mellows,2022
Repeat,"Science-Fiction, Mystery & Thriller, Drama",5.2,PG,1h 35min,Richard Miller,2021
VHS Lives: A Schlockumentary,"Horror, Documentary",4.8,N/A,2h 24min,Tony Newton,2017
Love Thy Neighbor - The Story of Christian Riley Garcia,Documentary,N/A,N/A,1h 22min,Brandon Smith,2021
The House on Devil's Road,Horror,N/A,N/A,1h 14min,N/A,2019
The Last Witness,"Mystery & Thriller, History",5.6,N/A,1h 37min,Piotr Szkopiak,2018
Ragnarok,"Action & Adventure, Made in Europe, Fantasy",5.9,PG-13,1h 40min,Mikkel Brænne Sandemose,2013
Black Ops,"Science-Fiction, Action & Adventure, Horror",4.0,R,1h 42min,Tom Paton,2020
The Ballad Of Billy McCrae,"Drama, Mystery & Thriller",5.3,N/A,1h 31min,Chris Crow,2021
Beyond the Neon,"Mystery & Thriller, Crime",6.9,N/A,1h 27min,Larry A. McLean,2022
Fisherman’s Friends,"Drama, Comedy, Kids & Family, Music & Musical",7.0,PG-13,1h 52min,Chris Foggin,2019
Harmony,"Mystery & Thriller, Fantasy, Romance",5.6,N/A,1h 37min,Corey Pearson,2018
Rampage: Capital Punishment,"Crime, Mystery & Thriller, Action & Adventure",6.1,N/A,1h 33min,Uwe Boll,2014
American Tragedy,Documentary,6.3,N/A,1h 20min,Josh Sabey,2019
Honk for Jesus. Save Your Soul.,Comedy,5.4,R,1h 38min,Adamma Ebo,2022
Memory,"Mystery & Thriller, Action & Adventure, Crime",5.7,R,1h 54min,Martin Campbell,2022
School Spirits,"Comedy, Horror, Fantasy",4.3,N/A,1h 28min,Allison Eckert,2017
Birds of Paradise,Drama,5.9,R,1h 53min,Sarah Adina Smith,2021
Making Apes: The Artists Who Changed Film,Documentary,7.7,N/A,1h 26min,William Conlin,2019
Viva,"Drama, Made in Europe",7.3,R,1h 40min,Paddy Breathnach,2015
Hell Baby,"Comedy, Horror",4.9,R,1h 38min,Ben Garant,2013
Cosmoball,"Science-Fiction, Action & Adventure, Sport, Fantasy",4.7,PG,1h 55min,Dzhanik Fayziev,2020
The Deep House,"Horror, Drama, Mystery & Thriller",5.3,N/A,1h 25min,Julien Maury,2021
Paradox,"Drama, Action & Adventure, Crime, Mystery & Thriller",6.5,N/A,1h 41min,Wilson Yip,2017
211,"Crime, Action & Adventure, Drama, Mystery & Thriller, Made in Europe",4.4,R,1h 26min,York Alec Shackleton,2018
The Making of Rocky vs. Drago by Sylvester Stallone,Documentary,7.7,N/A,1h 33min,John Herzfeld,2021
MK Ultra,"Mystery & Thriller, Drama",5.5,N/A,1h 38min,Joseph Sorrentino,2022
Open Marriage,"Mystery & Thriller, Drama",5.3,N/A,1h 27min,Sam Irvin,2017
All Eyes,"Mystery & Thriller, Horror",5.4,N/A,1h 27min,Todd Greenlee,2022
An Ordinary People,Documentary,N/A,N/A,1h 35min,Ernest Nkosi,2020
Werewolf Castle,"Horror, Fantasy",4.1,R,1h 32min,Charlie Steeds,2022
High-Rise,"Drama, Science-Fiction, Horror",5.5,R,1h 59min,Ben Wheatley,2016
The Crash Reel,"Documentary, Sport",8.2,N/A,1h 49min,Lucy Walker,2013
Ravage,"Mystery & Thriller, Horror, Drama",4.9,R,1h 24min,Teddy Grennan,2020
Ash and Bone,"Horror, Mystery & Thriller",5.4,N/A,1h 37min,Harley Wallen,2022
