Title,genre,imdb,Tv-Rating,runtime,director,year
The Sunlit Night,"Comedy, Drama, Romance, Made in Europe",6.1,N/A,1h 46min,David Wnendt,2020
The Weekend,"Comedy, Drama, Romance",5.7,R,1h 26min,Stella Meghie,2019
Spiral: From the Book of Saw,"Horror, Crime, Mystery & Thriller, Drama, Action & Adventure",5.2,R,1h 33min,Darren Lynn Bousman,2021
Beast of Burden,"Drama, Mystery & Thriller, Action & Adventure, Crime",3.6,R,1h 29min,Jesper Ganslandt,2018
Rogue Agent,"Mystery & Thriller, Drama, Action & Adventure, Science-Fiction",6.4,N/A,1h 55min,Adam Patterson,2022
Rosaline,"Comedy, Romance",6.4,PG-13,1h 35min,Karen Maine,2022
Hatching,"Horror, Fantasy, Drama",6.2,N/A,1h 31min,Hanna Bergholm,2022
Slayers,"Comedy, Horror, Fantasy",3.1,R,1h 28min,K. Asher Levin,2022
Call Jane,"Drama, History",6.3,R,2h 1min,Phyllis Nagy,2022
Petite Maman,"Drama, Fantasy",7.4,PG,1h 12min,Céline Sciamma,2021
Vacation Friends,"Comedy, Kids & Family",6.3,R,1h 43min,Clay Tarver,2021
Official Competition,"Comedy, Drama",7.1,R,1h 55min,Alexander Peskador,2022
Next Exit,"Science-Fiction, Comedy, Romance",5.6,N/A,1h 43min,Mali Elfman,2022
The Judge,"Drama, Crime, Made in Europe",7.4,R,2h 21min,David Dobkin,2014
5 Years Apart,"Drama, Comedy",5.6,N/A,1h 36min,Joe Angelo Menconi,2019
Jungle,"Mystery & Thriller, Drama, Action & Adventure, Made in Europe",6.7,R,1h 55min,Greg McLean,2017
The Storied Life of A.J. Fikry,"Drama, Comedy",6.6,PG-13,1h 45min,Hans Canosa,2022
Three Identical Strangers,"Documentary, Drama, History",7.6,PG-13,1h 36min,Tim Wardle,2018
Section 8,"Mystery & Thriller, Action & Adventure",4.2,N/A,1h 38min,Christian Sesma,2022
Serena,"Drama, Romance, History",5.4,R,1h 49min,Susanne Bier,2014
John Dies at the End,"Comedy, Fantasy, Horror, Science-Fiction",6.3,R,1h 39min,Don Coscarelli,2013
"Good Luck to You, Leo Grande","Comedy, Drama",7.2,R,1h 37min,Sophie Hyde,2022
Flux Gourmet,"Comedy, Drama, Horror",5.9,N/A,1h 51min,Peter Strickland,2022
Spin Me Round,"Comedy, Romance",5.2,N/A,1h 44min,Jeff Baena,2022
The Place of No Words,"Drama, Fantasy",5.6,N/A,1h 35min,Mark Webber,2019
Mom and Dad,"Comedy, Horror, Mystery & Thriller",5.5,R,1h 23min,Brian Taylor,2018
James vs. His Future Self,"Science-Fiction, Comedy, Drama",5.9,N/A,1h 34min,Jeremy Lalonde,2020
Just Getting Started,"Comedy, Crime, Action & Adventure",4.5,PG-13,1h 31min,Ron Shelton,2017
The Wretched,"Horror, Mystery & Thriller",5.8,N/A,1h 35min,Drew T. Pierce,2020
I'm Totally Fine,"Science-Fiction, Comedy, Drama",5.8,N/A,1h 23min,Brandon Dermer,2022
Lullaby,Horror,4.7,N/A,1h 26min,John R. Leonetti,2022
Abandoned,"Horror, Mystery & Thriller",3.7,PG-13,1h 42min,Spencer Squire,2022
Voyagers,"Mystery & Thriller, Science-Fiction",5.4,PG-13,1h 48min,Neil Burger,2021
Don Jon,"Comedy, Drama, Romance",6.5,R,1h 30min,Joseph Gordon-Levitt,2013
The Infiltrator,"Drama, Mystery & Thriller, Crime",7.0,R,2h 7min,Brad Furman,2016
Brimstone,"Western, Mystery & Thriller, Drama, Made in Europe",7.0,R,2h 29min,Martin Koolhoven,2016
Benediction,"War & Military, Drama, History",6.7,PG-13,2h 17min,Terence Davies,2021
In the Fade,"Drama, Crime, Mystery & Thriller, Made in Europe",7.1,R,1h 46min,Fatih Akin,2017
"Quo Vadis, Aida?","Drama, History, War & Military",8.0,N/A,1h 41min,Jasmila Žbanić,2021
Dinner in America,"Comedy, Drama, Music & Musical, Romance",7.3,N/A,1h 46min,Adam Rehmeier,2022
The Double,"Drama, Mystery & Thriller, Science-Fiction, Comedy",6.5,R,1h 33min,Richard Ayoade,2014
Happening,"History, Drama",7.4,R,1h 40min,Audrey Diwan,2021
Private Property,"Mystery & Thriller, Drama",4.2,R,1h 27min,Chadd Harbold,2022
House of Darkness,"Mystery & Thriller, Horror, Comedy",4.7,R,1h 28min,Neil LaBute,2022
The Drop,Comedy,4.2,N/A,1h 32min,Sarah Adina Smith,2022
The Tax Collector,"Crime, Drama, Action & Adventure, Mystery & Thriller",4.8,R,1h 36min,David Ayer,2020
Hell Baby,"Comedy, Horror",4.9,R,1h 37min,Ben Garant,2013
Mass,Drama,7.6,PG-13,1h 51min,Fran Kranz,2021
Disappearance at Clifton Hill,"Mystery & Thriller, Drama",5.4,N/A,1h 40min,Albert Shin,2020
The Good Neighbor,Mystery & Thriller,6.0,R,1h 37min,Stephan Rick,2022
211,"Drama, Crime, Action & Adventure, Mystery & Thriller, Made in Europe",4.4,R,1h 26min,York Alec Shackleton,2018
Under the Eiffel Tower,"Comedy, Romance",5.5,N/A,1h 26min,Archie Borders,2019
Mayday,"Drama, Mystery & Thriller, Fantasy",4.3,N/A,1h 40min,Karen Cinorre,2021
Run,"Drama, Mystery & Thriller, Horror",6.7,PG-13,1h 30min,Aneesh Chaganty,2020
9 Bullets,"Mystery & Thriller, Action & Adventure",4.0,N/A,1h 36min,Gigi Gaston,2022
Bruiser,Drama,6.0,R,1h 41min,Miles Warren,2022
Cocaine Godmother,"Drama, Crime",5.6,N/A,1h 40min,Guillermo Navarro,2017
High-Rise,"Drama, Science-Fiction, Horror",5.5,R,1h 59min,Ben Wheatley,2016
Despicable Me 2,"Comedy, Animation, Crime, Kids & Family, Science-Fiction, Fantasy",7.3,PG,1h 39min,Chris Renaud,2013
Disappearance in Yellowstone,Mystery & Thriller,5.2,PG-13,1h 25min,Tony Dean Smith,2022
Wild Mountain Thyme,"Drama, Comedy, Romance",5.7,PG-13,1h 37min,John Patrick Shanley,2020
The Book Thief,"Drama, War & Military",7.5,PG-13,2h 11min,Brian Percival,2013
The Night House,"Mystery & Thriller, Horror, Drama",6.5,R,1h 47min,David Bruckner,2021
Inu-oh,"Music & Musical, Animation, Drama, Fantasy, History",7.2,PG-13,1h 38min,Masaaki Yuasa,2022
The Free Fall,"Horror, Drama",4.5,N/A,1h 22min,Adam Stilwell,2022
A Glitch in the Matrix,Documentary,5.2,N/A,1h 48min,Rodney Ascher,2021
Ultrasound,"Science-Fiction, Drama",5.8,N/A,1h 43min,Rob Schroeder,2022
Intruders,"Horror, Drama, Mystery & Thriller",5.7,R,1h 30min,Adam Schindler,2016
Big Gold Brick,"Comedy, Fantasy, Drama",3.4,N/A,2h 12min,Brian Petsos,2022
Funhouse,Horror,N/A,N/A,1h 46min,Jason William Lee,2019
Philomena,"Drama, Comedy, Made in Europe",7.6,PG-13,1h 38min,Stephen Frears,2013
Transpecos,Mystery & Thriller,5.8,N/A,1h 26min,Greg Kwedar,2016
Too Funny to Fail: The Life & Death of The Dana Carvey Show,"Comedy, Documentary",7.7,N/A,1h 35min,Josh Greenbaum,2017
The Fight,"Documentary, Action & Adventure, Mystery & Thriller",N/A,PG-13,1h 37min,Bemily Zilx,2020
Girl,Mystery & Thriller,4.9,N/A,1h 30min,Chad Faust,2020
Possessor Uncut,"Horror, Mystery & Thriller, Science-Fiction",6.5,R,1h 44min,Brandon Cronenberg,2020
12 Pups of Christmas,"Romance, Fantasy, Animation, Drama, Kids & Family",3.9,PG,1h 30min,Michael Feifer,2019
Hostile Territory,"Western, Action & Adventure, Drama, History",4.6,R,1h 34min,Brian Presley,2022
American Night,"Action & Adventure, Crime, Drama, Mystery & Thriller, Made in Europe",4.3,R,2h 3min,Alessio Della Valle,2021
True Things,Drama,5.9,N/A,1h 42min,Harry Wootliff,2022
Iron Mask,"Action & Adventure, Fantasy, Kids & Family",4.7,PG-13,2h 1min,Oleg Stepchenko,2019
Project Legion,"Horror, Mystery & Thriller, Science-Fiction",2.1,R,1h 29min,Lance Kawas,2022
See for Me,"Mystery & Thriller, Crime, Drama",5.8,N/A,1h 32min,Randall Okita,2022
Maneater,"Horror, Mystery & Thriller, Action & Adventure",3.1,R,1h 26min,Justin Lee,2022
This Mountain Life,Documentary,7.3,PG,1h 17min,Grant Baldwin,2018
The Donut King,Documentary,7.2,N/A,1h 34min,Alice Gu,2020
The ABCs of Death,"Horror, Comedy, Science-Fiction, Mystery & Thriller, Fantasy",4.7,N/A,2h 9min,Marcel Sarmiento,2013
Offseason,"Horror, Fantasy, Science-Fiction, Mystery & Thriller, Drama",4.9,N/A,1h 23min,Mickey Keating,2022
American Sicario,"Action & Adventure, Drama, Mystery & Thriller, Crime",4.3,R,1h 30min,RJ Collins,2021
Nightride,"Drama, Mystery & Thriller, Crime",5.7,N/A,1h 37min,Stephen Fingleton,2022
Dirty Weekend,"Drama, Comedy",5.0,N/A,1h 33min,Neil LaBute,2015
Gasoline Alley,"Mystery & Thriller, Action & Adventure",3.8,R,1h 37min,Edward Drake,2022
Mr. Jones,"Mystery & Thriller, Drama, Made in Europe",6.9,N/A,1h 59min,Agnieszka Holland,2019
Hitman: Agent 47,"Mystery & Thriller, Action & Adventure, Crime, Science-Fiction",5.7,R,1h 38min,Aleksander Bach,2015
Mack & Rita,"Comedy, Fantasy, Drama",4.7,PG-13,1h 34min,Katie Aselton,2022
American Carnage,"Comedy, Horror, Action & Adventure",5.0,R,1h 41min,Diego Hallivis,2022
"Paris, 13th District","Romance, Drama, Comedy",7.0,R,1h 46min,Jacques Audiard,2021
You're Not You,Drama,7.3,R,1h 44min,George C. Wolfe,2014
"Riotsville, USA",Documentary,6.8,N/A,1h 30min,Sierra Pettengill,2022
Undine,"Drama, Fantasy, Romance, Mystery & Thriller",6.6,N/A,1h 30min,Christian Petzold,2020
Hunt,"Mystery & Thriller, Action & Adventure, Drama",6.8,N/A,2h 11min,Lee Jung-jae,2022
Sundown,Drama,6.6,R,1h 22min,Michel Franco,2022
Deep Water,"Drama, Mystery & Thriller",5.4,R,1h 56min,Adrian Lyne,2022
Charli XCX: Alone Together,"Music & Musical, Documentary, Drama",6.1,N/A,1h 7min,Bradley Bell,2022
The Wife,"Drama, Made in Europe",7.2,R,1h 40min,Björn Runge,2018
Wrong Place,"Mystery & Thriller, Action & Adventure, Crime",3.6,N/A,1h 36min,Mike Burns,2022
Gone Mom: The Disappearance of Jennifer Dulos,"Mystery & Thriller, Drama, Crime",6.2,N/A,1h 28min,Gail Harvey,2021
The Interview,"Action & Adventure, Comedy",6.5,R,1h 53min,Seth Rogen,2014
Moffie,"Romance, Drama, War & Military",6.8,N/A,1h 44min,Oliver Hermanus,2020
Night Raiders,"Science-Fiction, Action & Adventure, Mystery & Thriller",5.2,N/A,1h 37min,Danis Goulet,2021
Delivered,"Horror, Mystery & Thriller",N/A,N/A,1h 20min,Emma Tammi,2020
Three Minutes: A Lengthening,"History, War & Military, Documentary",7.3,PG,1h 9min,Bianca Stigter,2022
Room 203,"Horror, Drama",4.2,N/A,1h 44min,N/A,2022
Blackfish,"Documentary, Drama",8.1,PG-13,1h 23min,Gabriela Cowperthwaite,2013
Silo,"Drama, Mystery & Thriller",5.9,N/A,1h 16min,Marshall Josh Burnette,2021
Dig,Mystery & Thriller,4.3,R,1h 30min,K. Asher Levin,2022
The Butler,"Drama, Made in Europe",7.2,PG-13,2h 12min,Lee Daniels,2013
Ideal Home,"Comedy, Drama",6.4,N/A,1h 31min,Andrew Fleming,2018
My Old School,"Animation, Comedy, Drama, Documentary",7.2,N/A,1h 44min,Jono McLeod,2022
Shock and Awe,"Drama, Mystery & Thriller, History, War & Military",6.4,R,1h 30min,Rob Reiner,2018
7 Days,"Romance, Comedy, Drama",7.1,N/A,1h 26min,Roshan Sethi,2021
My Friend Dahmer,"Drama, Crime, Horror",6.2,R,1h 47min,Marc Meyers,2017
Jeepers Creepers: Reborn,"Mystery & Thriller, Horror",2.5,R,1h 28min,Timo Vuorensola,2022
The Congress,"Drama, Science-Fiction, Animation, Made in Europe",6.4,N/A,2h 2min,Ari Folman,2013
The Queen of Spain,"Comedy, Drama, Made in Europe",5.2,N/A,2h 10min,Fernando Trueba,2016
Happiest Season,"Romance, Horror, Comedy, Drama, Crime",6.6,PG-13,1h 42min,Clea DuVall,2020
I Give It a Year,"Romance, Comedy, Made in Europe",5.7,R,1h 37min,Dan Mazer,2013
2:22,"Science-Fiction, Mystery & Thriller, Horror, Drama, Romance",5.7,PG-13,1h 39min,Paul Currie,2017
The Good Witch of Christmas,"Comedy, Kids & Family, Fantasy",3.6,N/A,1h 16min,Francesco Cinquemani,2022
The Feast,"Horror, Mystery & Thriller, Drama",5.5,N/A,1h 33min,Lee Haven Jones,2021
The Last Victim,"Western, Action & Adventure, Crime, Mystery & Thriller",4.9,N/A,1h 43min,Naveen A. Chathapuram,2022
Paranoia,"Mystery & Thriller, Drama, Made in Europe",5.6,PG-13,1h 46min,Robert Luketic,2013
My Scientology Movie,Documentary,6.7,N/A,1h 39min,John Dower,2016
The Inhabitant,"Horror, Mystery & Thriller",4.3,N/A,1h 37min,Jerren Lauder,2022
Wander Darkly,"Drama, Romance",5.8,R,1h 37min,Tara Miele,2020
Code Name Banshee,"Mystery & Thriller, Action & Adventure",3.6,N/A,1h 33min,Jon Keeyes,2022
I Think We're Alone Now,"Drama, Horror, Science-Fiction",5.7,R,1h 33min,Reed Morano,2018
"I, Tonya","Drama, Sport, Comedy",7.5,R,2h 1min,Craig Gillespie,2017
XX,Horror,4.6,R,1h 20min,Roxanne Benjamin,2017
The Hater,Comedy,4.4,N/A,1h 47min,Joey Ally,2022
A Long Way Down,"Comedy, Drama",6.3,R,1h 36min,Pascal Chaumeil,2014
Rambo: Last Blood,"Drama, Mystery & Thriller, Western, Action & Adventure, Crime",6.1,R,1h 41min,Adrian Grünberg,2019
After,"Drama, Romance",5.3,PG-13,1h 46min,Jenny Gage,2019
Suitcase Killer: The Melanie McGuire Story,Drama,N/A,PG-13,1h 25min,Nicole L. Thompson,2022
The Feels,"Comedy, Drama, Romance",5.1,N/A,1h 28min,Jenée LaMarque,2017
Look at Me: XXXTentacion,"Documentary, Music & Musical",7.5,N/A,1h 48min,Sabaah Folayan,2022
Premature,"Drama, Music & Musical, Romance",6.5,N/A,1h 26min,Rashaad Ernesto Green,2020
V/H/S: Viral,"Horror, Mystery & Thriller, Science-Fiction",4.2,R,1h 21min,Nacho Vigalondo,2014
International Falls,Comedy,5.8,N/A,1h 33min,N/A,2019
A Banquet,Horror,4.8,N/A,1h 47min,Ruth Paxton,2022
Machine Gun Kelly's Life In Pink,"Documentary, Music & Musical",6.3,R,1h 42min,Sam Cahill,2022
Blade of the Immortal,"Action & Adventure, Fantasy, Drama",6.7,R,2h 20min,Takashi Miike,2017
Maze,"Drama, Mystery & Thriller, Music & Musical, Crime, History, Made in Europe",5.9,N/A,1h 32min,Eve McConnachie,2017
Sacrifice,"Mystery & Thriller, Action & Adventure, Horror, Crime, Made in Europe",5.3,N/A,1h 31min,Peter A. Dowling,2016
Red Dog,Documentary,6.8,R,1h 45min,Casey Pinkston,2019
V/H/S/2,"Mystery & Thriller, Horror, Science-Fiction",6.0,N/A,1h 36min,Adam Wingard,2013
Ordinary Love,"Drama, Romance",6.6,R,1h 32min,Lisa Barros D'Sa,2019
Swan Song,"Comedy, Drama",7.0,N/A,1h 45min,Todd Stephens,2021
This World Alone,Drama,5.2,N/A,1h 30min,N/A,2021
Spencer,"Drama, History, Romance",6.6,R,1h 51min,Pablo Larraín,2021
Hell Hath No Fury,"War & Military, Action & Adventure",4.7,R,1h 34min,Jesse V. Johnson,2021
Titane,"Drama, Horror, Science-Fiction, Mystery & Thriller",6.5,R,1h 48min,Julia Ducournau,2021
The Unthinkable,"Mystery & Thriller, Action & Adventure, Romance, Science-Fiction, Made in Europe",6.0,N/A,2h 9min,Victor Danell,2018
Amulet,Horror,4.9,R,1h 39min,Romola Garai,2020
Rogue,Action & Adventure,N/A,R,1h 45min,M. J. Bassett,2020
The Cleaner,"Action & Adventure, Crime, Drama, Mystery & Thriller",5.2,N/A,1h 33min,Erin Elders,2021
Hold Your Fire,Documentary,6.8,N/A,1h 33min,Stefan Forbes,2021
How to Please a Woman,Drama,6.2,N/A,1h 47min,Renée Webster,2022
The Drover's Wife: The Legend of Molly Johnson,"Drama, Western, Mystery & Thriller, History",6.3,N/A,1h 49min,Leah Purcell,2022
The Deer King,"Drama, Action & Adventure, Kids & Family, Fantasy, Animation",6.3,R,1h 53min,Masayuki Miyaji,2021
Crawlers,"Comedy, Horror",N/A,N/A,1h 21min,Brandon Zuck,2020
Stardust,"Music & Musical, Drama",4.4,R,1h 44min,Gabriel Range,2020
The Cursed,"Horror, Fantasy, Drama",6.2,R,1h 51min,Sean Ellis,2021
Nitram,"Drama, Mystery & Thriller",7.1,N/A,1h 52min,Justin Kurzel,2021
Bad Reputation,"Documentary, Music & Musical",7.3,R,1h 35min,Kevin Kerslake,2018
Italian Studies,Drama,4.8,N/A,1h 21min,Adam Leon,2022
American Siege,"Mystery & Thriller, Action & Adventure",3.4,R,1h 30min,Edward Drake,2022
Willy's Wonderland,"Comedy, Horror, Mystery & Thriller, Action & Adventure",5.5,N/A,1h 28min,Kevin Lewis,2021
Made in Abyss: Dawn of the Deep Soul,"Fantasy, Drama, Science-Fiction, Mystery & Thriller, Animation",8.0,R,1h 45min,Masayuki Kojima,2020
You Are Not My Mother,"Horror, Mystery & Thriller, Drama",5.8,N/A,1h 33min,Kate Dolan,2022
Little Fish,"Romance, Science-Fiction, Drama",6.9,N/A,1h 41min,Chad Hartigan,2021
Agnes,"Horror, Drama",3.9,N/A,1h 33min,Mickey Reece,2021
Spree,"Mystery & Thriller, Horror, Comedy, Drama, Action & Adventure, Crime",5.9,N/A,1h 33min,Eugene Kotlyarenko,2020
2067,"Science-Fiction, Mystery & Thriller",4.9,N/A,1h 54min,Seth Larney,2020
A Day to Die,"Mystery & Thriller, Action & Adventure, Crime, Drama",3.5,R,1h 41min,Wes Miller,2022
ABCs of Death 2,"Horror, Mystery & Thriller, Fantasy, Science-Fiction, Comedy",5.4,N/A,2h 5min,Rodney Ascher,2014
The Personal History of David Copperfield,"Comedy, Drama",6.4,PG,1h 59min,Armando Iannucci,2019
The Killing of Two Lovers,"Drama, Mystery & Thriller",6.9,R,1h 25min,Robert Machoian,2020
Slay the Dragon,Documentary,7.3,PG-13,1h 41min,Chris Durrance,2020
Rams,"Drama, Comedy",6.5,PG-13,1h 55min,Jeremy Sims,2020
The Last Son,"History, Mystery & Thriller, Western, Fantasy, Crime, Drama, Romance, Science-Fiction, War & Military, Action & Adventure",4.8,R,1h 36min,Tim Sutton,2021
Held,"Mystery & Thriller, Horror",5.3,R,1h 34min,Travis Cluff,2020
Benedetta,"History, Romance, Drama, Documentary",6.7,N/A,2h 11min,N/A,2021
Catch the Fair One,"Mystery & Thriller, Crime",6.3,N/A,1h 25min,Josef Wladyka,2022
In Dubious Battle,"Drama, Western, Crime, History, Mystery & Thriller",6.0,R,1h 50min,James Franco,2016
Nekrotronic,"Comedy, Horror, Science-Fiction, Action & Adventure",5.6,R,1h 39min,Kiah Roache-Turner,2018
GameStop: Rise of the Players,Documentary,6.0,R,1h 34min,Jonah Tulis,2022
White Elephant,"Mystery & Thriller, Action & Adventure, Crime",4.4,N/A,1h 33min,Jesse V. Johnson,2022
Jawline,Documentary,6.1,N/A,1h 39min,Liza Mandelup,2019
School Spirit,Horror,N/A,N/A,1h 24min,Mike Gan,2019
A Taste of Hunger,"Romance, Drama",6.3,N/A,1h 44min,Christoffer Boe,2021
Siberia,"Mystery & Thriller, Made in Europe, Romance, Crime",4.3,R,1h 45min,Matthew Ross,2018
Good Kids,"Comedy, Drama",6.1,R,1h 26min,Chris McCoy,2016
Pharma Bro,Documentary,5.1,N/A,1h 25min,Brent Hodge,2021
I Love My Dad,Comedy,6.4,R,1h 30min,James Morosini,2022
"Love, Gilda",Documentary,7.4,N/A,1h 24min,Lisa D’Apolito,2018
Playing God,"Drama, Comedy",5.2,N/A,1h 36min,Scott Brignac,2021
You Can't Kill Meme,Documentary,3.6,N/A,1h 18min,Hayley Garrigus,2021
Journey to the West: Conquering the Demons,"Action & Adventure, Fantasy, Comedy, Romance, Horror, Drama",6.7,PG-13,1h 50min,Derek Kwok,2013
Out of Death,"Mystery & Thriller, Crime, Action & Adventure",3.3,R,1h 35min,Mike Burns,2021
Dreaming Walls: Inside the Chelsea Hotel,Documentary,6.1,N/A,1h 20min,Maya Duverdier,2022
Pooka!,"Horror, Mystery & Thriller",N/A,N/A,1h 30min,Nacho Vigalondo,2018
Queens of Pain,Documentary,7.2,PG-13,1h 14min,Cassie Hay,2020
Sharp Stick,Comedy,4.9,N/A,1h 36min,Lena Dunham,2022
Clean,"Crime, Action & Adventure, Drama, Mystery & Thriller",5.6,N/A,1h 33min,Paul Solet,2022
A Million Little Pieces,Drama,6.2,R,1h 53min,Sam Taylor-Johnson,2019
About Endlessness,"Drama, Fantasy",6.8,N/A,1h 18min,Roy Andersson,2019
Between Me and My Mind,Documentary,7.6,N/A,1h 40min,Steven Cantor,2019
Fire Island,"Comedy, Romance",6.7,R,1h 46min,Andrew Ahn,2022
Officer Downe,"Comedy, Action & Adventure, Science-Fiction",4.2,R,1h 28min,Shawn Crahan,2016
Last Looks,"Mystery & Thriller, Crime, Action & Adventure, Comedy",5.8,R,1h 51min,Tim Kirkby,2022
