Prime_movies,Prime_ratings,Prime_genre,Prime_runtime,Prime_year
Nanny,5.3,"Horror, Drama, Mystery & Thriller",1h 39min,2022
Native,4.3,"Science-Fiction, Drama",1h 26min,2018
Secret Headquarters,5.1,"Comedy, Kids & Family, Science-Fiction, Action & Adventure",1h 44min,2022
The Villainess,6.6,"Drama, Action & Adventure, Crime, Mystery & Thriller, Made in Europe",2h 9min,2017
Don't Click,2.8,Horror,1h 20min,2020
The Cosmos Sisters,3.4,Comedy,1h 18min,2022
Judy,6.8,"Drama, Music & Musical, Romance, History, Made in Europe",1h 58min,2019
Before I Go to Sleep,6.3,"Mystery & Thriller, Made in Europe, Drama, Horror",1h 32min,2014
Sugar Daddy,5.8,Drama,1h 39min,2021
James vs. His Future Self,5.9,"Comedy, Drama, Science-Fiction",1h 34min,2020
Computer Chess,6.2,Comedy,1h 31min,2013
Catherine Called Birdy,6.6,Comedy,1h 48min,2022
Harpoon,6.0,"Comedy, Horror, Mystery & Thriller",1h 22min,2019
The Other Me,4.2,"Drama, Mystery & Thriller",1h 39min,2022
Jungle,6.7,"Action & Adventure, Drama, Mystery & Thriller, Made in Europe",1h 55min,2017
"Give 'em Hell, Malone",5.8,"Mystery & Thriller, Action & Adventure, Crime",1h 32min,2020
What We Found,5.5,Mystery & Thriller,1h 50min,2020
Ashley,5.3,Drama,1h 32min,2013
June Again,7.2,"Drama, Comedy",1h 39min,2021
The Girl in Cabin 13: A Psychological Horror,2.8,Horror,1h 22min,2021
Judy & Punch,6.1,"Drama, Mystery & Thriller, Comedy, Crime, Fantasy",1h 45min,2019
"Nicole, her Ex & the Killer",6.8,"Comedy, Horror",1h 30min,2022
Nerve,6.5,"Mystery & Thriller, Action & Adventure, Crime, Drama",1h 36min,2016
The Blackout,5.2,"Drama, History, Comedy, Romance",1h 20min,2019
Spitfire,7.5,"Documentary, History, War & Military",1h 39min,2018
School Spirits,4.3,"Comedy, Horror, Fantasy",1h 28min,2020
Lancaster,7.7,Documentary,1h 50min,2022
The Family,5.1,"Drama, Horror, Mystery & Thriller",1h 45min,2022
Cyrano,6.4,"Romance, Drama",2h 3min,2022
A Perfect Enemy,5.5,"Drama, Mystery & Thriller, Made in Europe, Action & Adventure, Crime",1h 29min,2021
The Humanity Bureau,4.5,"Action & Adventure, Science-Fiction, Mystery & Thriller",1h 34min,2017
Above the Shadows,6.0,"Fantasy, Sport, Drama, Romance",1h 51min,2019
Call Us Ishmael,7.6,Documentary,1h 19min,2019
The Big Sick,7.5,"Comedy, Drama, Romance",1h 59min,2017
Black Bear,6.5,"Drama, Comedy, Mystery & Thriller",1h 44min,2020
Inside the Edge: A Professional Blackjack Adventure,7.2,Documentary,1h 12min,2019
The Secret: Dare to Dream,6.5,"Drama, Romance",1h 47min,2020
12 Feet Deep,5.2,"Horror, Mystery & Thriller",1h 26min,2017
My Name Is Emily,6.5,"Drama, Made in Europe",1h 34min,2016
Hyena Road,6.5,"Drama, Mystery & Thriller, Action & Adventure, War & Military",2h 5min,2015
The Deep House,5.4,"Horror, Drama, Mystery & Thriller",1h 25min,2021
Valerian and the City of a Thousand Planets,6.4,"Science-Fiction, Kids & Family, Action & Adventure, Fantasy, Made in Europe",2h 17min,2017
Spoor,6.3,"Drama, Mystery & Thriller, Comedy, Crime, Made in Europe",2h 8min,2017
"Men, Women & Children",6.7,"Drama, Comedy",1h 56min,2014
The Alpines,4.4,"Drama, Horror, Mystery & Thriller",1h 33min,2021
From Core to Sun,6.6,Documentary,1h 30min,2018
House of Glass,4.3,"Drama, Mystery & Thriller",1h 28min,2021
Do Not Reply,4.5,"Horror, Mystery & Thriller",1h 39min,2020
Autumn Road,4.1,"Drama, Horror, Mystery & Thriller",1h 35min,2021
Cassette: A Documentary Mixtape,6.5,"Documentary, Music & Musical",1h 20min,2016
Harmony,5.6,"Mystery & Thriller, Romance, Fantasy",1h 37min,2018
The Tunnel,N/A,"Drama, Mystery & Thriller, Made in Europe",1h 45min,2019
Peace Officer,7.5,"Documentary, Crime",1h 49min,2015
The Wolfpack,7.0,Documentary,1h 29min,2015
Anchor Point,N/A,Documentary,1h 29min,2021
VHS Lives: A Schlockumentary,4.8,"Horror, Documentary",2h 24min,2018
In the Fade,7.1,"Drama, Mystery & Thriller, Crime, Made in Europe",1h 46min,2017
Memory,5.7,"Mystery & Thriller, Action & Adventure, Crime",1h 54min,2022
Burlesque,N/A,,1h 23min,2019
Lone Wolf,3.4,"Drama, Science-Fiction, Mystery & Thriller",1h 44min,2021
Mascarpone,6.8,"Romance, Comedy, Drama",1h 41min,2021
Jallikattu,7.3,"Mystery & Thriller, Action & Adventure, Crime",1h 31min,2019
Behind The Sightings,3.5,"Horror, Mystery & Thriller, Documentary",1h 21min,2021
Rocky Road,5.3,"Drama, Kids & Family",1h 30min,2014
The Commune,6.4,"Drama, Made in Europe",1h 51min,2016
Juice: How Electricity Explains the World,6.9,"Documentary, Made in Europe",1h 20min,2020
Allied,7.1,"Drama, Romance, Mystery & Thriller, War & Military, Action & Adventure",2h 4min,2016
RoboCop,6.1,"Science-Fiction, Action & Adventure, Crime, Mystery & Thriller",2h 1min,2014
Shadow,7.0,"Action & Adventure, Drama, Fantasy, War & Military, History",1h 56min,2018
Rampage: Capital Punishment,6.1,"Crime, Mystery & Thriller, Action & Adventure",1h 33min,2014
Dog,6.5,"Animation, Action & Adventure, Kids & Family, Comedy, Drama, Fantasy",1h 41min,2022
Submergence,5.4,"Mystery & Thriller, Documentary, Drama, Romance, Made in Europe",1h 52min,2018
Dear Mr. Watterson,6.3,Documentary,1h 29min,2014
Afraid,3.1,"Horror, Mystery & Thriller",2h 5min,2018
The Sound of 007,7.4,"Documentary, Music & Musical",1h 28min,2022
Life in a Year,6.1,"Drama, Romance",1h 47min,2020
Homebound,4.4,"Drama, Horror",1h 11min,2022
Friendly Beast,6.3,"Horror, Mystery & Thriller",1h 38min,2017
An Imperfect Murder,3.0,"Drama, Mystery & Thriller",1h 11min,2020
The Visitor,4.2,"Horror, Mystery & Thriller, Drama",1h 29min,2022
An Ordinary People,N/A,Documentary,1h 35min,2020
Arthur & Merlin: Knights of Camelot,3.3,"Action & Adventure, History",1h 31min,2020
Fisherman’s Friends,7.0,"Comedy, Drama, Music & Musical, Kids & Family",1h 52min,2019
Bombshell,6.8,Drama,1h 48min,2019
Tethered,5.1,"Horror, Drama, Mystery & Thriller",1h 28min,2022
Control,4.3,"Science-Fiction, Mystery & Thriller",1h 29min,2022
Double Threat,4.7,"Action & Adventure, Mystery & Thriller, Comedy",1h 31min,2022
Beyond the Neon,6.7,"Crime, Mystery & Thriller",1h 27min,2022
Ragnarok,5.9,"Action & Adventure, Made in Europe, Fantasy",2h 0min,2013
Too Late,4.5,"Comedy, Horror",1h 20min,2021
Philomena,7.6,"Drama, Comedy, Made in Europe",1h 38min,2013
Viva,7.3,"Drama, Made in Europe",1h 40min,2016
They Live Inside Us,N/A,Horror,1h 43min,2020
The Oak Room,N/A,"Horror, Mystery & Thriller",1h 29min,2020
Don't Come Back from the Moon,4.8,"Drama, Science-Fiction",1h 38min,2019
Free Ride,5.6,"Drama, Mystery & Thriller, Action & Adventure",1h 26min,2014
Manhattan Undying,4.7,"Drama, Romance, Mystery & Thriller",1h 28min,2016
Horizon Line,N/A,Mystery & Thriller,1h 32min,2020
Making Apes: The Artists Who Changed Film,7.7,Documentary,1h 26min,2019
They Live Inside Us,N/A,Horror,1h 43min,2020
Intersect,3.5,"Horror, Mystery & Thriller, Animation, Science-Fiction",1h 59min,2020
The House on Devil's Road,N/A,Horror,1h 14min,2019
Ben Stokes: Phoenix from the Ashes,8.1,Documentary,1h 44min,2022
Paradox,6.5,"Drama, Mystery & Thriller, Action & Adventure, Crime",1h 41min,2017
Black Ops,4.0,"Horror, Science-Fiction, Action & Adventure",1h 42min,2020
Jack Ryan: Shadow Recruit,6.2,"Drama, Mystery & Thriller, Action & Adventure, Crime",1h 45min,2014
Honk for Jesus. Save Your Soul.,5.4,Comedy,1h 38min,2022
Furie,6.3,"Mystery & Thriller, Action & Adventure, Drama, Made in Europe",1h 38min,2019
Look Away,5.8,"Fantasy, Horror, Mystery & Thriller, Drama",1h 43min,2018
