Title,netflix_genre,Imdb,Age_ratings,Runtime,Year,Director
Falling for Christmas,"Comedy, Romance",5.2,PG,1h 35min,2022,Janeen Damian
Endless Love,"Drama, Romance",6.2,PG-13,1h 44min,2014,Shana Feste
Goosebumps,"Horror, Comedy, Kids & Family, Fantasy",6.3,PG,1h 43min,2015,Rob Letterman
Orgasm Inc: The Story of OneTaste,"Documentary, Crime",5.8,R,1h 29min,2022,Sarah Gibson
The Redeem Team,"Documentary, History, Sport",7.4,N/A,1h 38min,2022,Jon Weinbach
Operation Nation,"Comedy, Romance, Drama",5.7,N/A,1h 36min,2022,Piotr Kumik
The Womb,"Drama, Horror, Mystery & Thriller",6.0,R,1h 56min,2022,Fajar Nugros
The Mystery of Marilyn Monroe: The Unheard Tapes,Documentary,6.2,R,1h 41min,2022,Emma Cooper
In Her Hands,Documentary,6.7,PG-13,1h 33min,2022,Marcel Mettelsiefen
Stromboli,Drama,6.0,R,1h 25min,2022,Michiel van Erp
Take Your Pills: Xanax,Documentary,6.0,PG-13,1h 30min,2022,Blair Foster
Disobedience,"Drama, Romance, Made in Europe",6.6,R,1h 54min,2018,Sebastián Lelio
State of Alabama vs. Brittany Smith,"Documentary, Crime",N/A,PG-13,40min,2022,Ryan White
A Not So Merry Christmas,"Comedy, Fantasy",4.8,N/A,1h 39min,2022,Mark Alazraki
The Vanishing,"Mystery & Thriller, Crime, Drama, Made in Europe",5.9,R,1h 41min,2019,Kristoffer Nyholm
A Jazzman's Blues,Drama,6.7,R,2h 7min,2022,Tyler Perry
Colette,"Drama, Romance, History, Made in Europe",6.7,R,1h 51min,2018,Wash Westmoreland
2 Guns,"Comedy, Crime, Mystery & Thriller, Action & Adventure",6.7,R,1h 49min,2013,Baltasar Kormákur
Mr. Harrigan's Phone,"Mystery & Thriller, Horror, Drama",6.0,PG-13,1h 45min,2022,John Lee Hancock
Riddick,"Science-Fiction, Mystery & Thriller, Action & Adventure",6.4,R,1h 59min,2013,David Twohy
Tully,"Comedy, Drama",7.0,R,1h 35min,2018,Jason Reitman
The Best of Me,"Drama, Romance, Comedy",6.6,PG-13,1h 57min,2014,Michael Hoffman
Bert Kreischer: The Machine,Comedy,7.6,N/A,1h 10min,2016,Ryan Polito
The Lost Patient,"Mystery & Thriller, Drama",N/A,N/A,1h 33min,2022,Christophe Charrier
Phantom Thread,"Drama, Romance",7.4,R,2h 10min,2017,Paul Thomas Anderson
Footfairy,"Crime, Mystery & Thriller",4.6,N/A,1h 55min,2020,Kanishk Varma
Darkest Hour,"History, Drama, War & Military, Mystery & Thriller, Kids & Family",7.4,PG-13,2h 5min,2017,Joe Wright
Is That Black Enough for You?!?,"Documentary, History",7.3,R,2h 15min,2022,Elvis Mitchell
Capturing the Killer Nurse,"Documentary, Crime",6.4,PG-13,1h 35min,2022,Tim Travers Hawkins
The Adam Project,"Drama, Action & Adventure, Comedy, Science-Fiction",6.7,PG-13,1h 46min,2022,Shawn Levy
Patton Oswalt: We All Scream,"Comedy, Documentary",5.9,N/A,58min,2022,Patton Oswalt
A Night at the Kindergarten,Comedy,5.6,N/A,1h 37min,2022,Rafal Skalski
Making All Quiet on the Western Front,Documentary,N/A,R,18min,2022,Ingo Becker
The Hangover Part III,"Comedy, Crime",5.8,R,1h 40min,2013,Todd Phillips
I Believe in Santa,"Comedy, Romance",4.4,PG,1h 30min,2022,Alex Ranarivelo
My Father's Dragon,"Comedy, Animation, Drama, Kids & Family, Fantasy",6.5,PG,1h 44min,2022,Nora Twomey
Sebastian Maniscalco: Is it Me?,"Comedy, Reality TV, Documentary",6.4,R,1h 0min,2022,Peter Segal
The Perfumier,"Mystery & Thriller, Drama, Crime",3.6,R,1h 36min,2022,Nils Willbrandt
"Hello, Goodbye, and Everything in Between","Drama, Romance, Comedy",5.1,PG-13,1h 23min,2022,Michael Lewen
Begin Again,"Comedy, Drama, Music & Musical, Romance",7.4,R,1h 44min,2013,John Carney
The Soccer Football Movie,"Comedy, Sport, Animation, Kids & Family",3.1,PG,1h 14min,2022,Mitch Schauer
Rainbow,"Drama, Comedy",4.5,R,1h 57min,2022,Paco León
Aziz Ansari: Nightclub Comedian,Comedy,7.0,R,29min,2022,Aziz Ansari
Narvik,"War & Military, Drama, History, Action & Adventure",6.6,R,1h 48min,2022,Erik Skjoldbjærg
Inside Man: Most Wanted,"Mystery & Thriller, Action & Adventure, Crime",5.6,R,1h 46min,2019,M. J. Bassett
Do Revenge,Comedy,6.3,R,1h 58min,2022,Jennifer Kaytin Robinson
Disappearance at Clifton Hill,"Mystery & Thriller, Drama",5.4,N/A,1h 40min,2020,Albert Shin
Won't You Be My Neighbor?,Documentary,8.4,PG-13,1h 35min,2018,Morgan Neville
Ouija,"Horror, Mystery & Thriller",4.5,PG-13,1h 29min,2014,Stiles White
Synchronic,"Science-Fiction, Mystery & Thriller, Crime, Drama, Horror",6.2,R,1h 42min,2020,Aaron Moorhead
Philomena,"Drama, Comedy, Made in Europe",7.6,PG-13,1h 38min,2013,Stephen Frears
Little Boy,"War & Military, Comedy, Drama, History",7.3,PG-13,1h 46min,2015,Alejandro Monteverde
Pray Away,Documentary,6.5,PG-13,1h 41min,2021,Kristine Stolakis
Untold: The Rise and Fall of AND1,"Documentary, History, Sport",6.8,N/A,1h 9min,2022,"Kevin Wilson, Jr."
Southpaw,"Action & Adventure, Drama, Sport, Crime",7.3,R,2h 3min,2015,Antoine Fuqua
Our Lovers,"Drama, Romance, Comedy, Made in Europe",6.7,N/A,1h 32min,2016,Miguel Ángel Lamata
Ghislaine Maxwell: Filthy Rich,"Documentary, Crime",6.0,R,1h 41min,2022,Maiken Baird
Walk of Shame,Comedy,6.0,R,1h 35min,2014,Steven Brill
Hardcore Henry,"Action & Adventure, Science-Fiction, Mystery & Thriller",6.7,R,1h 36min,2016,Ilya Naishuller
Kiss the Ground,Documentary,8.2,N/A,1h 24min,2020,Rebecca Harrell Tickell
Dave Chappelle: What's in a Name?,Comedy,N/A,N/A,40min,2022,Rikki Hughes
The Sea Beast,"Kids & Family, Fantasy, Science-Fiction, Animation, Comedy, Action & Adventure",7.0,PG,1h 55min,2022,Chris Williams
Bulbbul,"Horror, Drama",6.5,N/A,1h 34min,2020,Anvita Dutt
Trevor Noah: I Wish You Would,"Comedy, Documentary",6.6,PG-13,1h 0min,2022,David Paul Meyer
Broad Peak,"Drama, Mystery & Thriller",5.9,N/A,1h 41min,2022,Leszek Dawid
The Seven Deadly Sins: Grudge of Edinburgh Part 1,"Action & Adventure, Animation, Fantasy, Comedy",5.4,PG-13,52min,2022,Noriyuki Abe
The Anthrax Attacks: In the Shadow of 9/11,"Documentary, Crime",6.3,R,1h 34min,2022,Dan Krauss
Nick Kroll: Little Big Boy,Comedy,6.7,R,1h 0min,2022,Bill Benz
The Mauritanian,"Drama, Mystery & Thriller",7.4,R,2h 9min,2021,Kevin Macdonald
End of the Road,"Crime, Action & Adventure, Drama, Mystery & Thriller",4.8,R,1h 29min,2022,Millicent Shelton
HollyBlood,"Comedy, Fantasy, Horror, Romance",4.4,N/A,1h 27min,2022,Jesús Font
Cirkus,"Comedy, Drama",4.9,N/A,2h 19min,2022,Rohit Shetty
Too Old for Fairy Tales,"Comedy, Kids & Family",6.2,N/A,1h 46min,2022,Kristoffer Rus
Class of '83,"Crime, Drama, Action & Adventure, Mystery & Thriller",5.8,N/A,1h 38min,2020,Atul Sabharwal
Tremors: Shrieker Island,Horror,N/A,PG-13,1h 42min,2020,Don Michael Paul
Don't Leave,"Romance, Drama",5.2,R,1h 47min,2022,Ozan Açıktan
My Daughter's Killer,"Documentary, Crime",6.8,R,1h 23min,2022,Antoine Tassin
What We Leave Behind,Documentary,6.8,PG,1h 11min,2022,Iliana Sosa
The Women and the Murderer,"Documentary, Crime",6.4,N/A,1h 32min,2021,Patricia Tourancheau
John Was Trying to Contact Aliens,Documentary,N/A,N/A,16min,2020,Matthew Killip
Borrego,Mystery & Thriller,5.3,R,1h 42min,2022,Jesse Harris
Untold: Breaking Point,"Documentary, Sport",7.6,R,1h 19min,2021,Chapman Way
Av: The Hunt,"Mystery & Thriller, Action & Adventure",5.3,N/A,1h 26min,2021,Emre Akay
Drifting Home,"Kids & Family, Fantasy, Animation, Drama",6.2,PG,1h 59min,2022,Hiroyasu Ishida
The Post-Truth World,"Mystery & Thriller, Drama, Crime",6.5,N/A,2h 0min,2022,If Chen
Blood Line,"Horror, Drama, Mystery & Thriller",2.3,N/A,1h 33min,2020,N/A
The Gunman,"Drama, Made in Europe, Crime, Mystery & Thriller, Action & Adventure",5.8,R,1h 45min,2015,Pierre Morel
Enola Holmes,"Comedy, Drama, Action & Adventure, Crime",6.6,PG-13,2h 3min,2020,Harry Bradbeer
Shania Twain: Not Just a Girl,"Documentary, Music & Musical",7.0,N/A,1h 28min,2022,Joss Crowley
Private Lesson,"Romance, Comedy",4.5,R,1h 29min,2022,Kıvanç Baruönü
Athena,"Drama, Horror, Action & Adventure, Mystery & Thriller",6.8,R,1h 37min,2022,Romain Gavras
My Next Guest with David Letterman and Volodymyr Zelenskyy,Documentary,N/A,N/A,44min,2022,Michael Steed
Jumping from High Places,"Comedy, Drama, Romance",5.7,PG-13,1h 28min,2022,Andrea Jublin
Have a Good Trip: Adventures in Psychedelics,"Documentary, Comedy",6.8,N/A,1h 26min,2020,Donick Cary
Ouija: Origin of Evil,"Horror, Mystery & Thriller, Drama",4.9,PG-13,1h 39min,2016,Mike Flanagan
Nobody Sleeps in the Woods Tonight,"Mystery & Thriller, Horror, Drama, Fantasy, Romance, Made in Europe",4.9,N/A,1h 42min,2020,Bartosz M. Kowalski
Vampires vs. the Bronx,"Comedy, Horror",5.7,PG-13,1h 26min,2020,Oz Rodriguez
Avengement,"Crime, Action & Adventure, Mystery & Thriller",6.6,N/A,1h 30min,2019,Jesse V. Johnson
Ammar,Horror,2.6,N/A,1h 30min,2020,Mahmoud Kamel
Delivery by Christmas,"Romance, Comedy",5.5,N/A,1h 37min,2022,Aleksandra Kułakowska
Day Shift,"Comedy, Fantasy, Horror, Mystery & Thriller, Romance, Kids & Family, Action & Adventure",6.1,R,1h 53min,2022,J.J. Perry
Thai Massage,"Comedy, Drama",6.2,N/A,2h 0min,2022,Mangesh Hadawale
Why Did You Kill Me?,"Crime, Documentary",5.6,R,1h 23min,2021,Fredrick Munk
I Am Vanessa Guillen,"Documentary, Crime",6.3,PG-13,1h 35min,2022,Christy Wegener
Missing Link,"Comedy, Kids & Family, Fantasy, Animation",6.7,PG,1h 33min,2019,Chris Butler
Straight Up,"Comedy, Romance",6.9,N/A,1h 35min,2020,James Sweeney
The Munsters,"Comedy, Documentary, Kids & Family, Fantasy, Horror, Science-Fiction",4.5,PG,1h 50min,2022,Rob Zombie
Home,"Animation, Science-Fiction, Kids & Family, Fantasy, Comedy",6.6,PG,1h 34min,2015,Tim Johnson
Qala,"Drama, History, Horror, Music & Musical, Mystery & Thriller",7.2,N/A,1h 59min,2022,Anvita Dutt
Warriors of Future,"Science-Fiction, Drama, Action & Adventure, Mystery & Thriller",5.6,PG-13,1h 41min,2022,Ng Yuen-fai
Murder by the Coast,"Documentary, Crime, History, Mystery & Thriller",6.5,PG-13,1h 28min,2021,Tània Balló
Peppermint,"Action & Adventure, Mystery & Thriller, Crime, Drama",6.5,R,1h 42min,2018,Pierre Morel
Royalteen,"Drama, Romance",5.3,N/A,1h 47min,2022,Per-Olav Sørensen
18 Pages,Romance,7.1,N/A,2h 17min,2022,Palnati Surya Pratap
Guillermo del Toro's Pinocchio: Handcarved Cinema,Documentary,N/A,PG,37min,2022,N/A
F*ck Love Too,"Romance, Comedy",3.8,N/A,1h 32min,2022,Aram van de Rest
Operation Mincemeat,"Drama, War & Military",6.6,PG-13,2h 8min,2022,John Madden
Barefoot,"Comedy, Drama, Romance",6.6,PG-13,1h 30min,2014,Andrew Fleming
The Substitute,"Drama, Crime, Mystery & Thriller, Western",6.4,N/A,1h 51min,2022,Diego Lerman
Wild Is the Wind,"Drama, Crime",5.5,N/A,2h 3min,2022,Fabian Medea
Britney vs. Spears,"Documentary, Music & Musical",6.4,N/A,1h 33min,2021,Erin Lee Carr
Against the Ice,"Drama, History",6.5,N/A,1h 42min,2022,Peter Flinth
Bank Robbers: The Last Great Heist,"Documentary, Crime",7.1,N/A,1h 49min,2022,Matías Gueilburt
Untold: The Race of the Century,"Documentary, Sport",7.3,R,1h 23min,2022,Chapman Way
Farha,Drama,8.2,N/A,1h 32min,2022,Darin J. Sallam
The Railway Man,"Drama, Made in Europe, Romance, War & Military",7.1,R,1h 52min,2013,Jonathan Teplitzky
Carnaval,Comedy,4.0,N/A,1h 34min,2021,Leandro Neri
The Speed Cubers,Documentary,N/A,N/A,40min,2020,Sue Kim
Hold Your Breath: The Ice Dive,Documentary,N/A,N/A,40min,2022,Ian Derry
Doom of Love,"Drama, Romance",4.9,N/A,1h 40min,2022,Hilal Saral
Circus of Books,"Documentary, History",7.1,N/A,1h 32min,2019,Rachel Mason
David Spade: Nothing Personal,"Comedy, Documentary",5.8,N/A,1h 6min,2022,Ryan Polito
Carolin Kebekus: The Last Christmas Special,Comedy,4.8,N/A,1h 6min,2021,N/A
Hasan Minhaj: The King's Jester,"Comedy, Documentary",7.7,N/A,1h 0min,2022,Prashanth Venkataramanujam
R.I.P.D.,"Fantasy, Action & Adventure, Comedy, Crime, Science-Fiction",5.6,PG-13,1h 36min,2013,Robert Schwentke
Esposa de Aluguel,"Comedy, Romance",N/A,N/A,1h 47min,2022,Cris D'amato
Memories of a Murderer: The Nilsen Tapes,"Documentary, Crime",6.3,N/A,1h 24min,2021,Michael Harte
Love & Gelato,"Drama, Romance, Comedy",5.1,PG-13,1h 51min,2022,Brandon Camp
Then Barbara Met Alan,Drama,6.7,N/A,1h 7min,2022,Bruce Goodison
Christina P: Mom Genes,"Comedy, Documentary",6.1,N/A,1h 2min,2022,Ryan Polito
Wonder Boy,"Documentary, Made in Europe",N/A,N/A,1h 39min,2019,Anissa Bonnefont
A Secret Love,"Documentary, Drama",7.8,N/A,1h 22min,2020,Chris Bolan
Charming,"Comedy, Kids & Family, Fantasy, Animation",5.6,N/A,1h 30min,2018,Ross Venokur
The Wandering Earth,"Drama, Action & Adventure, Science-Fiction, Mystery & Thriller",5.9,PG-13,2h 6min,2019,Frant Gwo
Father Christmas Is Back,Comedy,4.5,PG-13,1h 45min,2021,Philippe Martinez
Welcome to Sudden Death,Action & Adventure,4.3,R,1h 20min,2020,Dallas Jackson
Christine,Drama,6.9,R,2h 3min,2016,Jessica Adler
Eric Andre: Legalize Everything,Comedy,6.2,R,52min,2020,Eric Notarnicola
Prime Time,"Drama, Mystery & Thriller",5.2,R,1h 33min,2021,Jakub Piątek
Split at the Root,Documentary,8.7,N/A,1h 36min,2022,Linda Goldstein Knowlton
Arctic,"Drama, Mystery & Thriller, Made in Europe",6.8,PG-13,1h 37min,2018,Joe Penna
Dancing with the Birds,Documentary,N/A,N/A,51min,2019,Huw Cordey
Spectral,"Science-Fiction, Mystery & Thriller, Action & Adventure",6.3,PG-13,1h 47min,2016,Nic Mathieu
Legends of the Hidden Temple,"Kids & Family, Action & Adventure",5.6,PG,1h 5min,2016,Joe Menendez
Side Effects,"Mystery & Thriller, Drama, Crime",7.1,R,1h 46min,2013,Steven Soderbergh
Father Soldier Son,"Documentary, War & Military",7.3,R,1h 39min,2020,Leslye Davis
Lou,"Mystery & Thriller, Action & Adventure, Crime, Drama",6.1,R,1h 47min,2022,Anna Foerster
Forgive Us Our Trespasses,Drama,6.5,PG-13,13min,2022,Ashley Eakin
Felix Lobrecht: Hype,Comedy,5.8,N/A,59min,2020,Jan-Peter Horns
"Love, Guaranteed","Comedy, Romance",5.6,N/A,1h 30min,2020,Mark Steven Johnson
The Power of the Dog,"Western, Drama, Romance",6.8,R,2h 6min,2021,Jane Campion
The Lost Husband,"Romance, Drama",6.1,PG-13,1h 49min,2020,Vicky Wight
Backtrace,"Mystery & Thriller, Drama, Crime, Science-Fiction, Action & Adventure",3.8,R,1h 32min,2018,Brian A. Miller
Cici,Drama,7.2,N/A,2h 31min,2022,Berkun Oya
How I Became a Gangster,"Drama, Crime, Made in Europe",6.9,N/A,2h 20min,2020,Maciej Kawulski
Iliza Shlesinger: Unveiled,Comedy,6.5,N/A,1h 18min,2019,Steve Paley
What We Wanted,Drama,5.9,N/A,1h 34min,2020,Ulrike Kofler
Pete Davidson: Alive from New York,Comedy,6.1,N/A,49min,2020,Jason Orley
Ali Wong: Don Wong,Comedy,6.6,R,59min,2022,Nahnatchka Khan
Along for the Ride,"Drama, Romance",6.1,N/A,1h 46min,2022,Sofia Alvarez
Attack of the Hollywood Clichés!,Documentary,N/A,N/A,59min,2021,Sean Doherty
